Actinobacillus,Actinomyces,Atopobium,Bulleidia,Campylobacter,Capnocytophaga,Catonella,Fusobacterium,Gemella,Granulicatella,Haemophilus,Leptotrichia,Megasphaera,Mogibacterium,Moryella,Neisseria,Oribacterium,Parvimonas,Peptostreptococcus,Porphyromonas,Prevotella,Rothia,Selenomonas,Streptococcus,Tannerella,Veillonella,Abiotrophia,Aggregatibacter,Bifidobacterium,Butyrivibrio,Cardiobacterium,Corynebacterium,Dialister,Lautropia,Paludibacter,Scardovia,Sharpea,Staphylococcus,Bacteroides,Janthinobacterium,Klebsiella,Pyramidobacter,Treponema,Filifactor,Moraxella,Achromobacter,Eikenella,Mycoplasma,Pseudomonas,Schwartzia,Acinetobacter,Leuconostoc,Propionibacterium,Burkholderia,Lactobacillus,Chryseobacterium,Kingella,Nocardia,Alloscardovia,Enterococcus,Proteus,Nesterenkonia,Tetrasphaera,Peptococcus,TG5,Odoribacter,Geobacillus,Mycobacterium,Stenotrophomonas,Trabulsiella,Bacillus,Lactococcus,Pediococcus,Pseudoramibacter_Eubacterium,Serratia,Slackia,Peptoniphilus,Agrobacterium,Elizabethkingia,Sphaerochaeta,Sphingomonas,Mobiluncus,Bilophila,Enhydrobacter,Alloiococcus,Desulfovibrio,Avibacterium,Trichococcus,SHD-231,Anaerovorax,Morganella,Rhodococcus,Micrococcus,Phycicoccus,Dermabacter,Finegoldia,Sneathia,Desulfobulbus,Streptomyces,Halomonas,Shewanella,Dermacoccus,Actinobaculum,Microbacterium,BE24,Cellulomonas,Streptobacillus,Anaerococcus,Bradyrhizobium,Roseomonas,Afipia,Gluconacetobacter,Pasteurella,Gardnerella,Comamonas,Erwinia,Sphingobacterium,Wautersiella,Deinococcus,Gordonia,Kurthia,Propionivibrio,Vagococcus,Brevibacterium,Brochothrix,Acholeplasma,Anoxybacillus,Candidatus_Tammella,Novosphingobium,Sphingobium,Syntrophomonas,Plesiomonas,Cryocola,Ralstonia
0,2.743958,0.308922,0.109031,0,0.09086,0,0.363438,0.526985,0.218063,41.704525,0.054516,0,0.199891,0.072688,0.018172,0.163547,0.145375,0,0.054516,0.327094,10.430674,0.345266,37.833909,0,1.508268,2.580411,0,0,0,0,0.036344,0.054516,0.036344,0,0,0,0,0,0,0,0,0,0,0.018172,0,0.018172,0.018172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.871894,0.290416,0.290416,0.032268,1.613424,0.161342,0.290416,24.201355,1.871571,0.354953,0.548564,0,0.129074,0.451759,0.193611,0.290416,0.161342,0,0.032268,1.516618,50.661504,0.096805,7.712165,0.032268,5.162956,0.516296,0.064537,0,0,0.032268,0.032268,0,0.064537,0.032268,0.096805,0,0,0,0,0,0,0.032268,0,0,0,0,0.064537,0,0,0,0,0,0,0,0,0.064537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.971914,0.947093,0,0.130634,0,0,0,0,10.320052,1.077727,0,0,0,0.293926,1.045069,0.097975,0,0,0,0.914435,51.110385,0,20.672763,0,8.32789,0,0,0.391901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032658,0,0,0,0,0,0,0,0,0,0.620509,0,0,0,0,0.751143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326584,0,0,0,0,0,0,0.032658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.963215,0.715259,0,0.06812,1.634877,0,0.1703,0.10218,0.885559,4.087193,0.03406,0,0.817439,0,1.123978,0.06812,0.442779,0,2.588556,8.310627,27.009537,0.953678,16.042234,0,26.362398,1.362398,0,0,0,0.10218,0,0.10218,0,0.06812,0.03406,0,0.1703,0,0,0,0,0,0,0.10218,0,0.1703,0,0,0,0,0,0,0,2.213896,0,0.544959,0,0,0.20436,0,0.30654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16.099123,1.078894,0.033715,0.421443,2.225219,0,0.640593,0,4.450438,2.208361,1.129467,0.151719,0.387728,0.016858,0,0.084289,0.101146,0,0.252866,8.159137,3.337829,0.623736,43.610924,0.809171,10.384356,0,0,0,0,0,0.033715,0,0,0.387728,0.033715,0,0,0,0,0,0,0.303439,0.438301,0.016858,0,0.118004,0.101146,0,0,0,0,0,0.050573,0,0,0.202293,0,0.674309,0.539447,0.404585,0,0.033715,0,0.067431,0,0,0,0,0,0,0,0,0.016858,0,0.134862,0.033715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016858,0,0,0,0.084289,0.084289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9.147528,2.763721,0,0.233554,0,0,0,0,7.240171,0.233554,0,0.077851,0,0,0,0,0,0,0.27248,3.114052,21.175555,0.233554,10.938108,0,33.359284,0,0,0,0,0,0,4.20397,3.464383,0,0,0,0.350331,0,0,0,0,0,0,0,0,0,0.038926,2.95835,0,0,0,0.038926,0,0,0,0.038926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.735536,0.043913,0,0,0.032934,0,0.032934,0,0.757493,92.754419,0.021956,0,0.010978,0.021956,0.614777,0.010978,0,0,0.021956,0.032934,2.645735,0.010978,1.273466,0,0.153694,0,0,0,0,0,0.724558,0,0,0,0,0,0,0,0,0,0,0,0,0.054891,0,0,0,0.054891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.388562,0.04707,0.14121,0.023535,0.04707,0,0.023535,11.108496,1.694516,5.930807,0,0,0.023535,0.023535,0.517769,0.023535,0.023535,0.14121,18.54554,0.329489,2.51824,0,16.851024,0.023535,0.258884,0,0,0,0.023535,0,0.18828,0,0,0,0,0,0,0,0,0,0,0,0,39.75053,0,0.070605,0,0,0,0,0,0,0,0,0,0,0,0,0.258884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.153925,0.025654,0,0,0,0,0,1.513597,2.488456,0.256542,0,0,0,0,0,0,0,0,0,0.179579,10.107748,0,61.159569,0,0.102617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.523858,0,0,0,2.385839,0,0,0,0,0,0.051308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.18696,0,0,0,0,0,0.02337,1.939706,1.448937,68.567422,0,0,0,0,0.07011,0,0,0,1.519047,0.02337,0.420659,0,21.103061,0,2.033185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.664174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.175873,3.490941,0.24304,0,0.088378,0.088378,0,0.53027,4.661953,0.154662,1.50243,1.458241,0.088378,0.022095,0.044189,39.571365,0.022095,0.088378,0,0.309324,7.224923,8.661069,0.066284,24.326116,0,1.325674,1.347768,0,0,0,0.066284,0.154662,0.044189,0.110473,0,0.022095,0,0.066284,0,0,0,0,0.022095,0,0.022095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
